Qualifiers,Using LLMs for Third-Line QA on Statistical Releases,Developing a Historical School Identifier Dimension,New Insights on User Analytics for EES,Persistent Absence Explorer (EES API),"Automated QA of Schools, pupils and their characteristics/SEN",Form-to-Report Generator (Co-pilot project)
Project overview,,,,,,
What problem does your project aim to solve?,"After standard QA processes, there may still be undetected issues or missed insights in statistical releases and underlying data files. This project explores whether large language models (LLMs) can provide an additional layer of assurance.","School identifiers such as URN and LAESTAB change over time due to school closures, mergers, or reconfigurations. This makes it difficult to consistently track schools longitudinally across datasets.","We have the [EES analytics dashboard](https://rsconnect/rsc/ees-analytics/) but we want to add more insights to it.Teams currently lack clear, data-driven insights into how users interact with their statistical publications on EES. There’s no easy way to compare user engagement metrics across publications or identify patterns in user behaviour.","It can be difficult to quickly identify which areas or school types are most affected by persistent absence. This project aims to make it easier to explore and compare persistent absence rates across the country, with a particular focus on primary and secondary schools and trends at different geographic levels such as local authority.

Participants will be encouraged to extract trends and insights using the Week 29 data, which will be published in time for the hackathon and provides a complete view of the full academic year. This dataset offers a stronger foundation for identifying meaningful patterns and conducting robust analysis.","The Schools, Pupils, and their Characteristics (SPC) and Special Educational Needs (SEN) publications rely on the school census among other sources. Currently, there is a lot of manual cross-checking between these datasets to ensure consistency and accuracy. However this is time consuming and reliant on lots of manual manipulation.",Teams often collect structured information through forms and spreadsheets but manually turn these into readable summaries or reports is time-consuming and inconsistent. A good example is turning a spreadsheet of reward amounts and reasons into personalised thank you emails. This project aims to develop and automated solution and explore using co-pilot to generate content automatically from such spreadsheets or forms.
Why is this problem important or interesting to explore?,"LLMs may be able to spot patterns, inconsistencies, or outliers that humans miss, and could help summarise key findings or anomalies. This could improve the quality and robustness of published statistics.","Without a consistent identifier, it’s challenging to analyse trends or performance over time at the school level. A historical dimension would enable more accurate longitudinal analysis and improve data quality across systems.",Understanding how users engage with different types of content (e.g. data tables vs. commentary) can help publication teams focus their efforts more effectively. It also supports evidence-based decisions about content design and prioritization.,"This project has the potential to serve as an add-on to the high-profile DfE [Attendance Dashboard](https://department-for-education.shinyapps.io/pupil-attendance-in-schools/), contributing to a broader understanding of attendance trends and supporting strategic decision-making. Participants will be expected to apply data analysis and segmentation techniques to uncover deeper insights and enable more nuanced comparisons across regions and school types.

The EES API is cutting-edge across the GSS. By testing the API, participants will develop their own skills as well as provide valuable feedback on the support and resources available to improve the offer of all API users.","Automating the quality assurance (QA) process would reduce manual effort, improve consistency, and help identify discrepancies earlier. It would support more efficient publication workflows and reduce the risk of human error. Additionally, automated QA would bring the opportunity for visualising the data sooner in the process, giving an earlier indication of emerging trends.","Automating the generation of reports or emails from form or spreadsheet data will save time and ensure consistency in how information is presented. For the example of rewards, this will lead to quicker, more personalised thank yous."
What kind of solution or outcome do you envision?,"A prototype tool that uses an LLM to review data files and outputs insights such as: number of local authorities represented, potential outliers, and inferred headlines. This would act as a “third-line” QA check.","A new dimension table or mapping that links URNs and LAESTABs over time, capturing historical changes and enabling consistent tracking of schools. This could be used as a reference in analytical pipelines.","A set of comparative metrics or visualisations that allow teams to benchmark their publication’s performance against others. This could include ratios like accordion clicks to pageviews, time on page, or downloads. Consider metric design in this project like the use of averages, rankings, or a standardised score (e.g. 100 = average).","An interactive tool pulling either absence data from the API and visualise dimensions of interest. It could include rankings, trend lines, and filters to explore patterns and highlight high-absence areas. Participants can feedback on the packages (R, python, powerBI) and guidance developed to enable API connection.","A tool or script that automatically compares key metrics across the two publications, flags inconsistencies, and possibly generates a visual QA report.","A tool (and possibly series of AI prompts) that reads structured form responses (e.g. from Excel or CSV), and automatically generates formatted summaries or emails in a personal tone for each row using a predefined template. Output formats could include Word or email. You can use Copilot to help with code writing and to help with template wording and structuring."
Data and tools,,,,,,
What data will participants need to use?,Files from statistical releases can be used from the [Explore Education Statistic (EES)](https://explore-education-statistics.service.gov.uk/) platform. For example you can use CSVs and accompanying metadata or documentation.,GIAS ['Establishment Links' data](https://get-information-schools.service.gov.uk/Downloads) and perhaps GIAS historic data from LAESTAB and UKPRNs. ,"[EES user analytics data](https://rsconnect/rsc/ees-analytics/), potentially combined with metadata about publications if applicable.",[Persistent absence in schools API data](https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/9f975358-d00d-4321-8803-5132ec8e1252).,"You can find data in the [Schools, pupils and their characteristics EES data catalogue](https://explore-education-statistics.service.gov.uk/data-catalogue?themeId=ee1855ca-d1e1-4f04-a795-cbd61d326a1f&publicationId=a91d9e05-be82-474c-85ae-4913158406d0&releaseVersionId=e16d24b0-e813-4510-aa21-a6200dffaa97) and the [Special educational needs in England EES data catalogue](https://explore-education-statistics.service.gov.uk/data-catalogue?themeId=ee1855ca-d1e1-4f04-a795-cbd61d326a1f&publicationId=f657afb4-8f4a-427d-a683-15f11a2aefb5&releaseVersionId=1818d5d3-56fb-47fb-b057-08dd86900487).","Two fake datasets about reward nominations in CSV format, simulating real form responses. One dataset is  [simple](https://educationgovuk.sharepoint.com/:x:/r/sites/lveesfa00074/SSU%20%20Open%20sharing/Away%20days/2025%20statistics%20away%20day/Hackathon_2025/data/reward_nominations.csv?d=w05a2747eef7b4b98857fb3112139e21f&csf=1&web=1&e=2nyGSM) and one is [more complex](https://educationgovuk.sharepoint.com/:x:/r/sites/lveesfa00074/SSU%20%20Open%20sharing/Away%20days/2025%20statistics%20away%20day/Hackathon_2025/data/complex_reward_nominations.csv?d=wad423441ffd84377aa48ea0966d59751&csf=1&web=1&e=sK9lhU) to challenge yourself. "
"Is this data already available, or will it need to be created or simulated?",Download publication data files from [EES](https://explore-education-statistics.service.gov.uk/). You can also simulate data for the purpose of testing the concept.,Yes on [GIAS downloads](https://get-information-schools.service.gov.uk/Downloads).,The data is available and can be accessed via [EES user analytics dashboard](https://rsconnect/rsc/ees-analytics/).,The data is already available via a public API and can be accessed using the link above.,Data can be accessed through the publications' data catalogue pages above.,Yes data is simulated and can be accessed in the [data folder](https://educationgovuk.sharepoint.com/sites/lveesfa00074/SSU%20%20Open%20sharing/Forms/AllItems.aspx?id=%2Fsites%2Flveesfa00074%2FSSU%20%20Open%20sharing%2FAway%20days%2F2025%20statistics%20away%20day%2FHackathon%5F2025%2Fdata&viewid=a3d9f08d%2D4fe8%2D4848%2D9157%2Dd7e09b43f701&csf=1&web=1&e=LpFSwP&ovuser=fad277c9%2Dc60a%2D4da1%2Db5f3%2Db3b8b34a82f9%2CMenna%2EZAYED%40EDUCATION%2EGOV%2EUK&OR=Teams%2DHL&CT=1727780143139&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNDA4MTcwMDQyMSIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D&CID=599e55a1%2Db0fc%2Da000%2D11d9%2Da88159430d0b&cidOR=SPO&FolderCTID=0x012000224A8980D0F5BE42981E5C8C6819EAD3).
"Do participants need access to existing code to take part in this project? If yes, please provide detail of where this code is and how the participants can access it",,,You can view the [EES analytics dashboard code on GitHub](https://github.com/dfe-analytical-services/ees-analytics-dashboard?tab=readme-ov-file) to see how the current dashboard works but you don't need to link your prototype to this dashboard during this hackathon.,"You can view the  [Attendance Dashboard GitHub code](https://department-for-education.shinyapps.io/pupil-attendance-in-schools/) for inspiration for your own project. However, please note we are not currently adding code to that repo even through branching. This project would need to be approved before potentially becoming an addition to that dashboard. ",No,
"Are there any tools, platforms, or programming languages you expect participants to use?","Python or R for data processing and interaction with LLM APIs. Participants could use packages like pandas or dplyr for data wrangling, and httr or requests to call LLMs. Optional tools include Jupyter Notebooks, RStudio, or lightweight dashboarding tools like Quarto, RMarkdown or Shiny for presenting results.","Python, R, or SQL for data wrangling; optionally Databricks or similar platforms for processing.","R for analysis, and dashboarding tools like Shiny.",R or Python for API access and data wrangling; dashboarding tools like Shiny for visualisation.,R or Python for data comparison and reporting; optionally Excel or a dashboarding tool for presenting results.,"Copilot. Python or R for reading and processing form data; templating libraries (e.g. officer, rmarkdown) for report generation; optional use of LLMs to enhance summaries."
Team and support,,,,,,
"What skills would be helpful for participants to have (e.g. data science, software engineering, domain knowledge)?","Experience with LLMs, data analysis, and working with statistical datasets.","Data wrangling, working with identifiers, understanding of school data structures, and experience with longitudinal datasets.","Data analysis, metric design, data visualisation, and some familiarity with user analytics or web metrics.","Data analysis, API integration and data visualisation.","Data wrangling, QA logic, and understanding of education data or publication processes.","Data wrangling, templating, basic scripting, working with copilot and optionally experience with document generation or LLM APIs."
"Will a subject matter expert be available during the hackathon to answer questions about the topic or data? If yes, please provide their name and availability.",,TBC,Yes – a member of the EES team will be available to support questions about the data and platform.,"Members of the EES team will be available to support on API connections.

We recommend you read information from the [Pupil attendance in schools EES page](https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2025-week-28) like the [methodology](https://explore-education-statistics.service.gov.uk/methodology/pupil-attendance-in-schools). If you still have questions, please get in touch with Tom Curd.",TBC,
Scope and feasibility ,,,,,,
What do you think a team could realistically achieve in 2 days or 1 week?,"A working prototype that takes a data file and outputs a summary of key insights, potential anomalies, and QA flags using an LLM.",Create a slowly moving dimension which links school identifiers. Issue is how they get LAESTAB and UKPRN data.,"A prototype dashboard or report showing comparative metrics across publications, and a proposed method for standardising engagement scores.","A working prototype pulling data from the API and visualising data, a write-up of feedback on the coding resources used.",A working prototype that compares key metrics between the two datasets and highlights mismatches or anomalies.,"A working prototype that reads form responses and generates clean, formatted reports for each entry. Could explore making them sound more personal with copilot. Optionally, a simple interface to upload files and download reports."
Are there any known challenges or limitations participants should be aware of?,"LLMs may hallucinate or misinterpret data, so outputs would need to be reviewed carefully. Access to LLM APIs may also be a constraint.",Quality of LAESTAB data and its variety needs to be accounted for in the code.,Some metrics may require careful interpretation or adjustment for publication size or type. Designing fair comparisons will be part of the challenge.,,Understanding the nuances of the school census data and how it feeds into both publications. You can find information on this from the methodology pages of the [SPC publication](https://explore-education-statistics.service.gov.uk/methodology/schools-pupils-and-their-characteristics) and the [SEN publication](https://explore-education-statistics.service.gov.uk/methodology/special-educational-needs-in-england). You can also find information from the data guidance pages for the [SPC publication](https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2024-25/data-guidance) and [SEN publication](https://explore-education-statistics.service.gov.uk/find-statistics/special-educational-needs-in-england/2024-25/data-guidance).,Designing flexible templates that work across varied responses may require iteration. Formatting output across multiple file types can also be tricky.
Anything else?,,,,,,
Is there anything else you'd like us to know about your project idea?,,,,,,
To be filled by hackathon organisers!,,,,,,
